treenumber,treatment,aphid_rating,sm_rating,twig_length,ant_rating,under_cmbs,top_cmbs,total_cmbs,1hr,4hr,8hr,24hr,2days,3days,4days,5days,6days,7days,8days,9days,10days,11days,12days,14days,15days,16days,17days,18days,19days,20days,21days,22days,23days,24days,25days,26days,27days,28days,29days,30days,31days,32days,33days,34days,sdb_sightings,pres_ab,final_aphid,final_ant,final_sm,final_cmbs_top,final_cmbs_under,final_cmbs,resident_ne,,,,notes
22,fructose,1,3,170.5,1,5,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,2,1,5,3,yellow jacket,,,,fallen over after storm
23,fructose,2,1,121.5,1,9,6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,5,,,,,
24,sprite,4,4,74,1,8,2,5,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,1,1,2,9,5.5,,,,,
25,control,3,2,130.5,2,8,6,7,1,1,2,1,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,17,15,1,3,3,3,9,6,ladybeetle,,,,
26,wheast_spray,1,2,181,1,8,4,6,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,1,3,2,8,5,"ladybeetle, dolichopodidae, assassin bug",,,,
27,sprite,1,3,178.5,1,8,5,6.5,2,2,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1,1,3,2,7,4.5,,,,,
28,wheast_paste,2,2,204,1,7,3,5,1,4,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,1,2,4,3,9,6,yellow jacket,,,,
29,fructose,1,2,145.5,1,4,2,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,1,2,2,8,5,,,,,
30,fructose,1,2,124,1,4,2,3,0,1,2,1,0,1,1,1,2,0,0,0,1,0,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,13,1,1,2,1,7,4,Lw pupa,,,,
31,wheast_spray,2,3,154.5,1,9,4,6.5,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,1,3,3,9,6,"ladybeetle, dolichopodidae, stink bug nymph",,,,
32,control,1,1,182.25,1,8,5,6.5,1,0,1,2,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,1,3,1,9,5,"ladybeetle, stink bug nymph",,,,
33,wheast_paste,3,3,134.5,1,6,1,3.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,3,1,9,5,"debri carrying lacewing, lw eggs, dolichopodidae",,,,blown over
34,fructose,3,4,119.5,1,9,5,7,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,1,3,4,2,9,5.5,,,,,
35,wheast_spray,1,2,133.5,1,8,7,7.5,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,2,2,9,5.5,,,,,
36,wheast_paste,3,4,163,2,9,7,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,3,2,9,5.5,"lacewing, ladybeetles",,,,
37,wheast_paste,2,2,71,2,7,3,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,2,2,9,5.5,,,,,
38,sprite,1,1,96,4,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,9,5,tons of ants,,,,
39,sprite,1,3,218.5,2,8,5,6.5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,2,1,8,4.5,,,,,
40,control,1,1,127,1,6,4,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,1,7,4,,,,,
